wavelength,flux,e_flux
5730.154796,1.5566221,1.5566221
5735.875333,1.5590987,1.5590987
5741.617852,1.5585264,1.5585264
5747.36037,1.5646172,1.5646172
5753.102889,1.5635233,1.5635233
5758.85613,1.5585355,1.5585355
5764.62063,1.5543797,1.5543797
5770.38513,1.5408032,1.5408032
5776.14963,1.5285290,1.5285290
5781.925389,1.5160733,1.5160733
5787.71187,1.5045093,1.5045093
5793.498352,1.4993299,1.4993299
5799.295556,1.4902629,1.4902629
5805.093296,1.4749882,1.4749882
5810.901223,1.4679446,1.4679446
5816.709686,1.4641540,1.4641540
5822.529407,1.4522374,1.4522374
5828.348593,1.4429560,1.4429560
5834.179037,1.4370300,1.4370300
5840.009481,1.4290849,1.4290849
5845.850648,1.4200513,1.4200513
5851.703074,1.4071896,1.4071896
5857.5555,1.4026328,1.4026328
5863.407926,1.3960216,1.3960216
5869.271074,1.3884338,1.3884338
5875.145481,1.3809009,1.3809009
5881.019889,1.3737321,1.3737321
5886.905019,1.3795187,1.3795187
5892.779426,1.3793244,1.3793244
5898.675814,1.3804657,1.3804657
5904.582926,1.3750157,1.3750157
5910.479314,1.3658420,1.3658420
5916.397149,1.3439236,1.3439236
5922.304796,1.3392558,1.3392558
5928.233889,1.3335918,1.3335918
5934.162981,1.3196805,1.3196805
5940.092074,1.2975727,1.2975727
5946.032426,1.2866701,1.2866701
5951.9835,1.2731438,1.2731438
5957.934574,1.2636580,1.2636580
5963.896907,1.2527916,1.2527916
5969.858704,1.2448967,1.2448967
5975.832296,1.2342384,1.2342384
5981.805352,1.2193840,1.2193840
5987.78913,1.2012572,1.2012572
5993.773444,1.1879947,1.1879947
5999.768481,1.1792090,1.1792090
6005.763519,1.1689028,1.1689028
6011.769814,1.1530193,1.1530193
6017.786833,1.1413965,1.1413965
6023.803851,1.1292988,1.1292988
6029.831593,1.1172906,1.1172906
6035.85987,1.1233732,1.1233732
6041.89887,1.1206813,1.1206813
6047.93787,1.1128597,1.1128597
6053.987593,1.1150531,1.1150531
6060.037852,1.1153032,1.1153032
6066.098833,1.1199030,1.1199030
6072.159814,1.1244502,1.1244502
6078.231519,1.1282614,1.1282614
6084.314481,1.1264902,1.1264902
6090.397444,1.1284426,1.1284426
6096.49113,1.1263241,1.1263241
6102.585351,1.1230854,1.1230854
6108.690296,1.1221915,1.1221915
6114.805963,1.1236417,1.1236417
6120.910907,1.1271244,1.1271244
6127.037833,1.1286805,1.1286805
6133.164223,1.1307698,1.1307698
6139.302407,1.1434931,1.1434931
6145.440056,1.1464261,1.1464261
6151.577704,1.1505830,1.1505830
6157.73787,1.1534104,1.1534104
6163.8975,1.1558377,1.1558377
6170.05713,1.1589394,1.1589394
6176.228019,1.1664900,1.1664900
6182.398907,1.1692686,1.1692686
6188.580519,1.1727054,1.1727054
6194.773389,1.1735619,1.1735619
6200.965723,1.1745807,1.1745807
