wavelength,flux
5542,2.503e-17
5544,2.704e-17
5547,2.929e-17
5549,2.84e-17
5551,2.711e-17
5554,2.243e-17
5556,3.06e-17
5559,3.108e-17
5561,2.155e-17
5564,2.917e-17
5566,2.614e-17
5568,2.422e-17
5571,2.688e-17
5573,3.269e-17
5576,2.536e-17
5578,2.137e-17
5581,3.145e-17
5583,2.926e-17
5586,2.736e-17
5588,2.786e-17
5590,2.708e-17
5593,2.746e-17
5595,2.498e-17
5598,2.669e-17
5600,2.462e-17
5603,2.516e-17
5605,2.688e-17
5607,2.252e-17
5610,2.743e-17
5615,2.561e-17
5617,3.186e-17
5620,2.909e-17
5622,2.672e-17
5624,2.908e-17
5627,2.688e-17
5629,2.448e-17
5632,3.144e-17
5634,2.951e-17
5637,3.149e-17
5639,2.552e-17
5641,1.913e-17
5644,2.889e-17
5646,2.746e-17
5649,2.929e-17
5651,2.432e-17
5654,2.57e-17
5656,2.703e-17
5658,2.247e-17
5661,2.506e-17
5663,2.077e-17
5666,2.521e-17
5668,2.829e-17
5671,2.402e-17
5673,1.983e-17
5675,1.873e-17
5678,2.351e-17
5680,2.462e-17
5683,2.9e-17
5685,2.041e-17
5688,2.363e-17
5690,2.531e-17
5692,2.564e-17
5695,2.562e-17
5697,2.335e-17
5700,2.486e-17
5702,2.661e-17
5705,2.304e-17
5707,2.395e-17
5709,2.794e-17
5712,1.996e-17
5714,2.267e-17
5717,2.099e-17
5719,2.271e-17
5722,2.264e-17
5724,2.73e-17
5726,1.82e-17
5729,2.029e-17
5731,2.336e-17
5734,2.309e-17
5736,2.143e-17
5739,2.05e-17
5741,1.793e-17
5743,2.119e-17
5746,2.711e-17
5748,2.196e-17
5751,2.866e-17
5753,3.005e-17
5756,1.644e-17
5758,2.017e-17
5760,2.661e-17
5763,2.326e-17
5765,1.317e-17
5768,1.547e-17
5770,1.745e-17
5773,1.467e-17
5775,2.111e-17
5777,1.934e-17
5780,1.573e-17
5782,2.307e-17
5785,1.399e-17
5787,2.418e-17
